Magnet,Lockin_U,Lockin_Uh
0	    ,7.15e-06	,0
0.02	,6.5e-06	    ,5e-07
0.04	,5.3e-06	    ,5.5e-06
0.06	,4.8e-06	    ,1e-05
0.08	,4.7e-06	    ,1.6e-05
0.1	    ,4.8e-06	    ,2.05e-05
0.12	,4.2e-06	    ,2.6e-05
0.14	,4.55e-06	,3.1e-05
0.16	,4.45e-06	,3.65e-05
0.18	,4.35e-06	,4.15e-05
0.2	    ,4.6e-06	    ,4.65e-05
0.22	,4.65e-06	,5.15e-05
0.24	,3.85e-06	,5.8e-05
0.26	,4.35e-06	,6.25e-05
0.28	,4.45e-06	,6.85e-05
0.3	    ,4.75e-06	,7.35e-05
0.32	,4.6e-06	    ,7.9e-05
0.34	,4.75e-06	,8.45e-05
0.36	,4.55e-06	,8.95e-05
0.38	,3.55e-06	,9.6e-05
0.4	    ,4.15e-06	,0.0001005
0.42	,4.75e-06	,0.000106
0.44	,4.9e-06	    ,0.0001105
0.46	,4.9e-06	    ,0.000116
0.48	,4.8e-06	    ,0.0001215
0.5	    ,5.35e-06	,0.000127
0.52	,5.65e-06	,0.000132
0.54	,4.9e-06	    ,0.000137
0.56	,4.1e-06	    ,0.000143
0.58	,6.55e-06	,0.0001485
0.6	    ,4.05e-06	,0.000153
0.62	,5.7e-06	    ,0.0001595
0.64	,4.65e-06	,0.000163
0.66	,6.05e-06	,0.00017
0.68	,4.25e-06	,0.000174
0.7	    ,8.45e-06	,0.000181
0.72	,2.35e-06	,0.000185
0.74	,9.3e-06	    ,0.000191
0.76	,6.85e-06	,0.0001965
0.78	,3.05e-06	,0.0001995
0.8	    ,1.055e-05	,0.0002065
0.82	,7e-06	    ,0.000213
0.84	,2.1e-06	    ,0.0002165
0.86	,9.8e-06	    ,0.000222
0.88	,1.175e-05	,0.000229
0.9	    ,4.75e-06	,0.000234
0.92	,3e-06	    ,0.000237
0.94	,1.2e-05	    ,0.0002435
0.96	,1.355e-05	,0.0002505
0.98	,7.8e-06	    ,0.0002565
1	    ,1.45e-06	,0.0002585
1.02	,6.3e-06	    ,0.000263
1.04	,1.425e-05	,0.00027
1.06	,1.62e-05	,0.0002775
1.08	,1.135e-05	,0.0002835
1.1	    ,2.45e-06	,0.0002875
1.12	,9.5e-07	    ,0.0002885
1.14	,9.2e-06	    ,0.0002945
1.16	,1.725e-05	,0.000302
1.18	,1.93e-05	,0.0003095
1.2	    ,1.635e-05	,0.000316
1.22	,8e-06	    ,0.0003215
1.24	,1.8e-06	    ,0.0003235
1.26	,1.25e-06	,0.000325
1.28	,8.9e-06	    ,0.00033
1.3	    ,1.815e-05	,0.000338
1.32	,2.215e-05	,0.000345
1.34	,2.34e-05	,0.000352
1.36	,2.085e-05	,0.0003595
1.38	,1.32e-05	,0.000366
1.4	    ,4.55e-06	,0.0003695
1.42	,2e-07	    ,0.0003705
1.44	,4.5e-07	    ,0.000371
1.46	,7.75e-06	,0.0003765
1.48	,1.76e-05	,0.000384
1.5	    ,2.425e-05	,0.0003915
1.52	,2.74e-05	,0.0003985
1.54	,2.865e-05	,0.000406
1.56	,2.78e-05	,0.0004125
1.58	,2.43e-05	,0.0004195
1.6	    ,1.805e-05	,0.0004255
1.62	,8.95e-06	,0.00043
1.64	,1.3e-06	    ,0.000432
1.66	,-1e-07	    ,0.000432
1.68	,6e-07	    ,0.000433
1.7	    ,6.85e-06	,0.0004375
1.72	,1.675e-05	,0.0004445
1.74	,2.425e-05	,0.000452
1.76	,2.94e-05	,0.000459
1.78	,3.255e-05	,0.0004665
1.8	    ,3.395e-05	,0.000473
1.82	,3.475e-05	,0.0004805
1.84	,3.475e-05	,0.0004875
1.86	,3.355e-05	,0.0004945
1.88	,3.075e-05	,0.000502
1.9	    ,2.54e-05	,0.000508
1.92	,1.74e-05	,0.0005135
1.94	,7.95e-06	,0.000517
1.96	,1.15e-06	,0.0005185
1.98	,-1.5e-07	,0.0005185
2	    ,-4.5e-07	,0.0005185
2.02	,5.5e-07	    ,0.0005195
2.04	,6.4e-06	    ,0.0005235
2.06	,1.615e-05	,0.0005305
2.08	,2.425e-05	,0.000537
2.1	    ,3.13e-05	,0.0005445
2.12	,3.64e-05	,0.0005525
2.14	,3.905e-05	,0.00056
2.16	,3.97e-05	,0.000567
2.18	,3.97e-05	,0.0005725
2.2	    ,3.91e-05	,0.0005795
2.22	,3.915e-05	,0.000585
2.24	,3.995e-05	,0.0005915
2.26	,4.14e-05	,0.000598
2.28	,4.255e-05	,0.000605
2.3	    ,4.27e-05	,0.000614
2.32	,4.135e-05	,0.000621
2.34	,3.765e-05	,0.000629
2.36	,3.185e-05	,0.000636
2.38	,2.47e-05	,0.000641
2.4	    ,1.585e-05	,0.000645
2.42	,6.85e-06	,0.0006475
2.44	,1.35e-06	,0.000648
2.46	,-4.5e-07	,0.0006485
2.48	,-3.5e-07	,0.0006485
2.5	    ,-3e-07	    ,0.000648
2.52	,-3e-07	    ,0.000649
2.54	,2.75e-06	,0.0006505
2.56	,8.9e-06	    ,0.0006555
2.58	,1.73e-05	,0.0006605
2.6	    ,2.73e-05	,0.000668
2.62	,3.495e-05	,0.0006755
2.64	,4.135e-05	,0.0006835
2.66	,4.605e-05	,0.000692
2.68	,4.87e-05	,0.000699
2.7	    ,5.02e-05	,0.0007065
2.72	,5e-05	    ,0.0007145
2.74	,4.835e-05	,0.000721
2.76	,4.605e-05	,0.000727
2.78	,4.215e-05	,0.0007325
2.8	    ,3.87e-05	,0.000737
2.82	,3.525e-05	,0.0007415
2.84	,3.29e-05	,0.0007455
2.86	,3.2e-05	    ,0.000749
2.88	,3.29e-05	,0.000753
2.9	    ,3.585e-05	,0.000759
2.92	,3.97e-05	,0.0007665
2.94	,4.455e-05	,0.000774
2.96	,4.89e-05	,0.000782
2.98	,5.25e-05	,0.0007915
3	    ,5.515e-05	,0.0008005
3.02	,5.61e-05	,0.0008105
3.04	,5.58e-05	,0.0008185
3.06	,5.45e-05	,0.0008265
3.08	,5.145e-05	,0.000835
3.1	    ,4.775e-05	,0.000842
3.12	,4.285e-05	,0.000848
3.14	,3.555e-05	,0.0008535
3.16	,2.75e-05	,0.000858
3.18	,1.865e-05	,0.000861
3.2	    ,1.05e-05	,0.0008625
3.22	,3.5e-06	    ,0.000864
3.24	,5e-07	    ,0.0008645
3.26	,-1e-07	    ,0.000864
3.28	,-4.5e-07	,0.0008645
3.3	    ,-7.5e-07	,0.0008645
3.32	,-5e-07	    ,0.0008645
3.34	,-5.5e-07	,0.000864
3.36	,-5.5e-07	,0.000864
3.38	,-3.5e-07	,0.000865
3.4	    ,1.6e-06	    ,0.0008665
3.42	,6.3e-06	    ,0.0008695
3.44	,1.445e-05	,0.000874
3.46	,2.275e-05	,0.00088
3.48	,3.21e-05	,0.0008865
3.5	    ,4.095e-05	,0.0008945
3.52	,4.805e-05	,0.0009025
3.54	,5.45e-05	,0.0009105
3.56	,5.895e-05	,0.000918
3.58	,6.335e-05	,0.0009265
3.6	    ,6.66e-05	,0.000934
3.62	,6.95e-05	,0.000943
3.64	,7.14e-05	,0.0009505
3.66	,7.28e-05	,0.000958
3.68	,7.345e-05	,0.000967
3.7	    ,7.335e-05	,0.000974
3.72	,7.245e-05	,0.000982
3.74	,7.065e-05	,0.00099
3.76	,6.835e-05	,0.0009965
3.78	,6.495e-05	,0.0010035
3.8	    ,6.03e-05	,0.00101
3.82	,5.455e-05	,0.0010165
3.84	,4.835e-05	,0.001022
3.86	,4.225e-05	,0.001026
3.88	,3.545e-05	,0.00103
3.9	    ,2.955e-05	,0.001033
3.92	,2.335e-05	,0.0010355
3.94	,1.915e-05	,0.001037
3.96	,1.56e-05	,0.001038
3.98	,1.345e-05	,0.001039
4	    ,1.255e-05	,0.00104